ASV,q2.id,Row.names,Domain,Phylum,Class,Order,Family,Genus,Species,ASV,syn.tree id,R2.N05B.y,R2.N05S.y,R2.N10B.y,R2.N10S.y,R2.N15B.y,R2.N15S.y,R2.N20B.y,R2.N20S.y,R2.S05B.y,R2.S05S.y,R2.S10B.y,R2.S10S.y,R2.S15B.y,R2.S15S.y,R2.S20B.y,R2.S20S.y,R3.N05S.y,R3.N10S.y,R3.N15S.y,R3.N20S.y,R3.S05S.y,R3.S10S.y,R3.S15S.y,R3.S20S.y,R4.N05B.y,R4.N05S.y,R4.N10B.y,R4.N10S.y,R4.N15B.y,R4.N15S.y,R4.N20B.y,R4.N20S.y,R4.S05B.y,R4.S05S.y,R4.S10B.y,R4.S10S.y,R4.S15B.y,R4.S15S.y,R4.S20B.y,R4.S20S.y,FL010322.y,FL011722.y,FL020121.y,FL021521.y,FL031521.y,FL032921.y,FL041221.y,FL042621.y,FL051021.y,FL052421.y,FL060721.y,FL062121.y,FL070821.y,FL071921.y,FL080221.y,FL081721.y,FL091321.y,FL092721.y,FL101121.y,FL102521.y,FL110821.y,FL112221.y,FL120621.y,FL122021.y,HPD0.POST.y,HPD0.PRE.y,HPD1.y,HPD14.y,HPD3.y,HPD7.y,asv.id
ASV1283,9eaed8a956cdc57afbace68a49a16dcc,ASV1283,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1283,fSyn38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002261048,0,0,0,0.001736111,0.003716485,0,0.012599823,0.012631579,0.003340013,0.009864648,0.022035256,0.009155937,0.014401213,0.018048128,0.006336634,0.014952516,0,0,0,0,0,0.001931745,0.001201682,0.001043115,0.001252012,0.002264639,0.025776304,0.003848728,0.012233706,ASV1283
ASV1294,9f9f87704f0f92bf91faafd3549e0a98,ASV1294,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1294,fSyn37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004316547,0.003507541,0.003984064,0.013032758,0.005015432,0.005043801,0.017203244,0.008873114,0,0.003562681,0.007570544,0.01161859,0.00472103,0.002273876,0.006183155,0.001584158,0.007678319,0,0,0,0,0,0.001126851,0.003204486,0.001738526,0.001073153,0.003235199,0.023816702,0.006358768,0.013921114,ASV1294
ASV1311,a1eb7c35719cb49035f17f4f50f67610,ASV1311,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1311,fSyn36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001027749,0,0,0,0.00154321,0.002654632,0,0.0108252,0.012105263,0.008906702,0.012846983,0.026642628,0.01130186,0.009348156,0.019385027,0.008712871,0.022832896,0,0,0,0,0.010396128,0.003380554,0.002603645,0.001912378,0.002504024,0.002426399,0.03934278,0.006358768,0.022569078,ASV1311
ASV1316,a270d268d0bf3c3184ede377c7efefb8,ASV1316,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_cyanobacterium,ASV1316,fSyn35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001597161,0.004210526,0.002004008,0.003441156,0.005809295,0.001716738,0.001263264,0.002339572,0.00039604,0.006870075,0,0,0,0,0.001613192,0,0.000600841,0.000869263,0,0,0.003919204,0.001171352,0.00210926,ASV1316
ASV1377,abaa1136c12bb76413597ae84afb5336,ASV1377,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1377,fSyn34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001438849,0,0.002935626,0,0.001157407,0.003451022,0,0,0.004736842,0.004676019,0.004588208,0.003205128,0.0018598,0,0,0,0,0,0,0,0,0,0.002253703,0.001602243,0.002607789,0.00160973,0.001617599,0.001808863,0.002844712,0.002320186,ASV1377
ASV1401,ae7f9a757df025052386cced2ba79f9f,ASV1401,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__metagenome,ASV1401,fSyn33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001064774,0,0,0.004358798,0.005608974,0.017596567,0.011116726,0.020220588,0.00970297,0.004445342,0,0.009427455,0,0,0,0,0,0,0,0.00032352,0.002110341,0.001506024,0.00105463,ASV1401
ASV147,10fe6fbc54200dec8adc9a959df0817d,ASV147,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__metagenome,ASV147,fSyn32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003774376,0,0.002121914,0.002920096,0,0,0.043684211,0.003117346,0.004129387,0.004407051,0.001430615,0.014401213,0.002506684,0.008118812,0,0,0,0,0,0,0.006761108,0,0,0,0,0.000753693,0,0,ASV147
ASV1488,b9da9543b4cd7aa96421288c3fe4ef74,ASV1488,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_marine,ASV1488,bSyn4 (blast= synechoccous),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003226577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002484472,0,0.001336005,0.001376462,0.002003205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002864034,0.001506024,0.002531112,ASV1488
ASV1558,c2754ca26ca7a50e421bff8c20ec22d2,ASV1558,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1558,fSyn31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002123706,0,0.006033718,0,0.002672011,0.00527644,0.009415064,0.004434907,0.002526529,0.003342246,0.002178218,0.005455648,0,0,0,0,0,0,0,0.001912378,0.001430871,0.002749919,0.011305396,0.003848728,0.007804261,ASV1558
ASV1619,c8d5d73acfeb0f1b010b155b862e0941,ASV1619,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__metagenome,ASV1619,fSyn30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000709849,0,0,0.00550585,0.005208333,0.016452074,0.011874684,0.019385027,0.01009901,0.00585977,0,0,0,0,0,0,0,0,0,0,0.004069943,0,0.001265556,ASV1619
ASV1624,c9369d7210d34016ea33da394e399bc4,ASV1624,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1624,fSyn29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001438849,0,0.001887188,0.005988024,0.000192901,0.001592779,0,0,0,0.001113338,0.001147052,0,0.000715308,0,0,0,0,0,0,0,0,0,0,0,0.001043115,0,0,0,0,0.00210926,ASV1624
ASV1636,cad11f3104e7d352b5ca445e47ad9fc8,ASV1636,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1636,fSyn28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001929148,0.00083875,0,0,0.001061853,0.010076186,0,0.002105263,0.00089067,0.001835283,0.002203526,0,0,0,0,0,0,0,0,0,0,0,0.000801122,0,0,0,0,0.001506024,0,ASV1636
ASV1748,d8709b94eeeb1fbb926628af971574fc,ASV1748,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307 Genus,ASV1748,fSyn27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001644399,0,0.002096876,0,0.000964506,0.001061853,0,0,0.004210526,0.001558673,0.003441156,0.003605769,0.001144492,0,0,0,0,0,0,0,0,0,0.001931745,0.001001402,0.002433936,0.001967448,0.002911679,0.001507386,0.001840696,0.000632778,ASV1748
