ASV.ID,Taxon,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
cb52126e24dc7bc7d09bda03b0783517,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__uncultured_Flavobacteriia,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__uncultured_Flavobacteriia,0.8073849699860971
cb5648dc2aa19e440603535aa5b7f142,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__uncultured_Bacteroidetes,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,s__uncultured_Bacteroidetes,0.8396160786491025
cb7560787aeff5f89fcb819c0dc4ab69,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,,0.9999999991821308
cb821f3d70fcc01f5671f7d35d4110ef,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__Pseudohongiella,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudohongiellaceae,g__Pseudohongiella,,0.9999991853773725
cb869c0343a7b7f685cbb2f8f4fbee7b,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast;s__uncultured_prymnesiophyte,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,s__uncultured_prymnesiophyte,0.8843873430846516
cb946401052f10435709e61329d8fb93,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group;s__marine_metagenome,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,s__marine_metagenome,0.9174158086325377
cb9638cc189e883bfb6a337b324d00e4,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Pelagicoccus;s__uncultured_marine,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__Pelagicoccus,s__uncultured_marine,0.7732356464519134
cb9822fe3ccc431baaeb40092d131814,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,0.9999999485299143
cb9ea12a26f68470fed1b750f8f7742a,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__uncultured,,0.9999407409268434
cba76cd79f9a0d38db8f302e42d7f07f,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II;s__uncultured_marine,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_marine,0.9327188112551705
cbaafac3240e6bcf07647f24491fa2a8,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS2b_marine_group,,0.9231903177394676
cbadfc4ad6431bb402347d12d363cd34,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group;s__uncultured_bacterium,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,s__uncultured_bacterium,0.9651389148657019
cbb0ca5da5f9e2b3c08c61d8ac0fb776,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,,0.99985364
cbc654d8eadfc9d5c0f9b91b865022a6,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__uncultured;s__marine_metagenome,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,s__marine_metagenome,0.9989941303947597
cbc7e68fc7d4d971d595273c2a90f5b2,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__hgcI_clade;s__Candidatus_Planktophila,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__Candidatus_Planktophila,0.878356341
cbd0ff755fd0e6a065afd88dfacab60c,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_I;g__Clade_Ib,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,g__Clade_Ib,,0.7890181070397217
